Id;Designator;Behuizing;Hoeveelheid;Orientatie;Leverancier en ref
1;G***;logoDramco2;1;LOGO;
2;G***;logoKuleuven2;1;LOGO;
3;AE1;helixAntenna;1;Antenna;
4;J2;USB_Micro;1;USB_B_Micro;
5;R2,R3;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;470;
6;U3;RN2483;1;RN2483;
7;F1;MSMF050;1;MF-MSMF050-2;
8;U1;samd21;1;SAMD21G18A;
9;C7,C1,C9,C10,C3,C16;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;6;100 nF;
10;C4,C8;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;10 µF;
11;C2;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;100nF;
12;C11;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;DNP;
13;C5,C6;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;12 pF;
14;C13,C15;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;4.7 nF;
15;C12,C14;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;1 µF;
16;D1,D2;LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;LED;
17;D3;SOT-143;1;PRTR5V0U2X;
18;FB1,FB2;R_0603_1608Metric_Pad1.05x0.95mm_HandSolder;2;BLM18PG471SN1;
19;R10;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;DNP;
20;R7,R8,R11,R12;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;4;10k;
21;Y1;crystelCM8V;1;Crystal 32 kHz - CM8V;
22;J1;PinHeader_2x03_P2.54mm_Vertical;1;Conn_02x03_Odd_Even;
23;R9;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;330;
24;D5,D4;PMEG2005;2;PMEG2005AEA115;
25;C17;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;10 uF;
26;J4,J5,J6,J7,J8,J9;ConnectorHorizontalPcb;6;Conn_02x03_Top_Bottom;
27;J3;PinHeader_1x03_P2.54mm_Vertical;1;Conn_01x03;
28;R5;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;100 k;
29;R1,R6;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;100k;
30;R4;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;1k;
31;U2;TPS7A05;1;TPS7A0533;
32;S1;30062114;1;30.062.114;
